year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction,training_mode
2025,9,1,ML,0.0,116007252.00001338,116007252.00001338,139834285.0,-17.03947855133426,under,fixed
2025,9,8,Transition Tables,31069199.0,83656654.19773072,114725853.19773072,139834285.0,-17.95584809710242,under,fixed
2025,9,8,ML,31069199.0,107507310.63312587,138576509.63312587,139834285.0,-0.8994756664105149,under,fixed
2025,9,15,Transition Tables,66755927.0,93049269.83433634,159805196.83433634,139834285.0,14.281842135021709,over,fixed
2025,9,15,ML,66755927.0,81843421.89565508,148599348.8956551,139834285.0,6.268179435147178,over,fixed
2025,9,22,Transition Tables,97011174.0,98387241.0919868,195398415.0919868,139834285.0,39.735698646427664,over,fixed
2025,9,22,ML,97011174.0,51307043.365391165,148318217.36539117,139834285.0,6.067133225153735,over,fixed
2025,10,0,Transition Tables,0.0,104610469.18974315,104610469.18974315,175992168.0,-40.559588316598756,under,fixed
2025,10,0,ML,0.0,155088907.95615554,155088907.95615554,175992168.0,-11.877380841086326,under,fixed
2025,10,1,Transition Tables,5955791.0,105564396.00663841,111520187.00663841,175992168.0,-36.63343757056371,under,fixed
2025,10,1,ML,5955791.0,154714899.61959973,160670690.61959973,175992168.0,-8.70577228209398,under,fixed
2025,10,8,Transition Tables,42493473.0,99810979.33390176,142304452.33390176,175992168.0,-19.14159933872639,under,fixed
2025,10,8,ML,42493473.0,126849496.67652296,169342969.67652297,175992168.0,-3.778121719301185,under,fixed
2025,10,15,Transition Tables,74312326.0,103074724.99016052,177387050.99016052,175992168.0,0.7925824234181403,over,fixed
2025,10,15,ML,74312326.0,99479087.39676589,173791413.3967659,175992168.0,-1.2504843983932923,under,fixed
2025,10,22,Transition Tables,113070153.0,106443593.37854223,219513746.37854224,175992168.0,24.729269985777005,over,fixed
2025,10,22,ML,113070153.0,62686024.15436863,175756177.15436864,175992168.0,-0.13409167482462117,under,fixed
